넘치도록	버래기
의붓 아들은 콩죽 먹이고, 친 아들은 팥죽 먹인다.	다심 아덜은 콩 죽 멕이곡, 원 아덜은 폿 죽 멕인다.
의붓아버지 고기 써는데는 가고, 친아버지 장작 패는데는 가지를 말라.	다심아방 궤기 써는 디랑 가고, 원아방 낭깨는 디랑 얼씬을 말라.
넓은 바다도 건너 봐야 안다.	대천 바당도 건너 봐사 안다.
대정 망아지 야무지고 알차다	대정 몽생이 요망진다.
 덴 곳에 털 안난다.	덴디 꺼럭 아니 돗나
들목 터진 밭에 마소 들듯	도 터질 밭디 모쉬 들듯.
도둑놈과 띠 다발은 묶어서 세워 놓으면 꼭 닮다.	도둑놈광 샛뭇은 묶엉 세와노민 똑 닮나.
고맙습니다	고맙쑤다
제가 당신을 무척 사랑합니다	나 이녁 소못 소랑헴수다
가십시오	갑써양
서방 조끝에 고치 앉즙써	남편 옆에 같이 앉으세요
사람 있습니까	사름 잇수과
잘 있었습니까	잘 이십디강?
아버지 어머니 모두 편안하셨습니까	아방 어멍 다 펜안햇수과
머리 조심하세요	데멩이 맹심헙써
어디갔다가 오십니까	어디 갓당 왐쑤과
자기 것은 작게 보인다	지 것은 족아 벤다
누구십니까	누게꽈
제 얼굴이 예쁘지요	나 상우댕이 고우꽝
별로 이쁘지 않네요	고우멍 말멍 허우다
오천원입니다	오천원마씀
큰일 났습니다	큰일 낫수다
어떻게 생겼던가	어떵 생겨서
어디로 모실까요	어디가코 마시
똑똑하고 영리하게 생겼습니다	요망지게 생겨십디다
제주특별자치도에서 삽시다	제주특별자치도에서 살게 마씀
따스합니까	맨드롱햇수과
왜 그러십니까	무사 마씀
오시느라 고생 많으셨습니다	오젠허난 폭삭 속아수다
빨리빨리 더빨리 오세요	재기재기 보질보질 혼저옵서
참말로 이쁘고 둥실둥실합니다	촘말로 곱고 몬트락허우다
이곳은 바람도 많이 불고있네	이딘 보름도 하영 불엄져
소문나면 저는 모른다	소민나민 난 몰라
이곳에 있으니 엄마 보고싶다	이디 와부난 어멍 보지그립다
지쳐서 잠이 온다	지천 자지 그립다
햇볕은 쨍쨍 모래알은 반짝반짝	뱃은 과랑과랑 모살은 삔찍삔찍
아무리 이야기하여도 귀 눈이 캄캄	아무거앤 고라도 귀 눈이 왁왁
그러기에 말입니다	게메 마씀
나를 보십시오	날 봅서
잘되어 버렸다	제나콰니여
어마어떻게 하지	으마떵호리
으마떵호리	어마어떻게 하지
제주도 사투리로 말 하니까.	제주도 사투리로 말 호난
뭐라고 말하는지 모르겠지요	무신거랜 고람 신지 몰르쿠게
글세 말입니다	게메 마씀
귀와 눈이 캄캄합니다	귀 눈이 왁왁하우다
그래도 가만히 생각하며 들으면 조금씩 알 게 됩니다	경해도 고만히 생각호멍 들으민 호끔씩 알아집니다.
오랜만이예요	오랜만이우다
편안하십니까	몸은 펜안 하우꽈
얼굴이 좋아보이네요	얼굴이 펜안해 보염수다
어서오세요	혼저옵서예
제주도 오느라 수고하셨어요	제주도 오잰하난 폭삭 속아수다
제주도에 오니까 정말로 좋습니다	제주도 오난 촘말로 좋수다
산이랑 바다랑 모두가 좋습니다	산이영 바당이영 몬딱 좋은게 마씀
많이 보고, 서울에 갈 때는 많이 담아서 가십시오	많이많이봥으네 서울에 갈 때랑 하영 담앙 갑서
그러게 말입니다	게메 양
그렇게 했으면 얼마나 좋겠습니까	경 해시민 얼마나 좋코 마씀
안으로 들어 오셔서, 식사 하고 가십시오	안트레 들어 왕, 밥 먹엉 갑서
제주도 오셨으니, 전복죽드셔보고 가셔야죠	제주도 와시난 전복죽드셔봥 가살꺼 아니꽝
어서 와서 드세요	혼저 왕 드셩갑서
따뜻합니까	맨도롱 했수과
따끈따끈한 것이 먹기에 꼭 좋았습니다	뜻뜻혼 게 먹기 똑 좋았수다
맛 좋네요	맛있수다
여기요	여기예
이거 1kg에 얼마예요?	이거 키로에 얼마마씨?
사천원입니다	사천원마씨
그래요?	기꽝?
사천원어치주세요	사천원치 줍서
많이주세요	하영줍서예
많이 드립니다	많이 담암수다양
맛있게 드세요	맛있게 드십써 양
삼성혈에 가려는데요	삼성혈가잰하는디예
어디로 가면 되지요?	어디로 가면 되마씨?
여기서 10분 밑으로가서 칼호텔 근처에서 돌아서 왼쪽으로 가면 됩니다.	여기서 10분만 밑트레강 칼호텔조끄티서 바로 왼펜돌아가민 되우다
알겠어요?	알아지쿠가?
거기가서 아무사람이나 물어보면 잘 말해 줄꺼예요	거기강 봥으네, 아무사람이나 잡앙 물어보민 잘 말해 줄꺼우다
관광 잘하고 가세요	관광 잘행 갑써예
어서오십시요	혼저옵서예
잠깐 있으십시오	고만이십서게
잠깐있어라	고만 이시라게
무엇을 하십니까?	무신거 햄쑤꽈?
무엇을 하느냐?	무신거 햄시니?
왜 그렇게 급하십니까?	무사 경 급호꽈?
왜 그렇게 급하냐?	무사 경 급호냐?
빨리 오십시오	확 옵서게
어떻게 살고 있습니까?	어떵 살아 점수꽈?
무엇이라고 말하십니까?	무싱거엔 고람쑤꽈?
귀와 눈이 캄캄합니다	귀 눈이 왁왁하우다.
따뜻할 때 후루룩 잡수십시오	맨도롱 혼때 호로록 들여 싸 붑써
뭘 그리 늦장 부리십니까?	무싱 걸 몽캐미꽈?
와서 보십시오,말로 해서는 모릅니다	왕 봅서, 고랑은 몰라 마씀
아름답게 모조리 벗어서 오십시오	곱들락 호게 몬뜰락 벗엉 옵서
어디 갔다가 오십니까?	어디 갔당 왐수꽈?
어디로 가십니까?	어드레 감수꽈?
고생시키면서 키웁십시오.그래야 빨리 자랍니다	둥그리멍 키웁서, 경 해사 혼저 큽니다.
어떻게 살까,걱정 마십시오.참고 살면 살수 있습니다	어떵 살코, 저들지 맙서, 촘앙 살민 살아집니다
너하고 나하고 둘이 둥실 사랑합시다	느영 나영 두리둥실 소랑호게 마씸
어서 오십시오	혼저 옵서
제주도에 오니 어떠하십니까?	제주도에 오난 어떵 하우꽈?
정말로 좋습니다	촘말로 좋수다
와서 보십시오	왕 봅서
말로해서는 모릅니다	고랑은 몰라마씀
왜 그렇게 말하십니까?	무상 경 고람수꽈?
꾸물대지 말고 어서 오너라	몽캐지 말앙 혼저 오라게
조금만 계십시오	호꼼만 이십서게
어서 와서 먹으십시오	혼저 왕 먹읍서
따뜻합니까?	맨드롱 했수꽈?
따뜻한 때 후루룩 마셔 버리십시오	맨도롱 홀 때 호로록 들여 싸붑서
어서 오십시오.	혼저 옵서.
제주도 사투리로 말 하니까, 뭐라고 말하는 지 모르겠지요?	제주도 사투리로 말 호난, 무신 거옌 고람 신디 몰르쿠게?
글쎄 말입니다.	게메 마씀.
귀와 눈이 캄캄합니다.	귀 눈이 왁왁하우다.
그래도 가만히 생각하며 들으면 조금씩 알게됩니다.	경해도 고만히 생각호멍 들으민 조금씩 알아집니다.
제주도 사투리 정말로 귀하고 아름다운 보물입니다.	제주도 사투리 촘말로 귀하고 아름다운 보물이우다.
안녕하십니까?	펜안 하우꽈?
제주도에 오니 어떠하십니까?	제주도에 오난 어떵 하우꽈?
정말로 좋습니다.	촘말로 좋수다.
공기도 맑고, 산이랑 바다랑 모두가 좋습니다.	공기도 맑고, 산이영 바당이영 몬딱 좋은게 마씀.
서울에 갈 때는 많이 담아서 가십시오.	서울에 갈 때랑 하영 담앙 갑서.
그러게 말입니다.	게메, 양.
그렇게 했으면 얼마나 좋겠습니까?	경 해시민 얼마나 좋코 마씀?
저기, 바구니 지고 가는 거, 처녀들 아닙니까?	저기, 물허벅 정 가는 거, 비바리덜 아니꽈?
맞습니다.	맞수다.
처녀도 있고, 시집 간 여자도 있습니다.	비바리도 있고, 넹바리도 있수다.
처녀들 곱고 날씬하군요!	비바리덜 곱들락 호고 놀씬하우다 양!
그렇지요, 산 좋고 물 좋은 제주도에 사니 마음도 착하고 얼굴도 곱습니다. 	경 합주게, 산 좋고 물 좋은 제주도에 사난 모심도 착하고 얼굴도 곱들락 홉니다.
말로 해서는 모릅니다.	고랑은 몰라 마씀.
제주도에 와서 보아야 알 수 있습니다.	제주도에 왕 봐사 알아짐니다.
돌도 많고, 바람도 많고, 처녀도 많고, 유채꽃도 아름답게 피었습니다.	돌도 많고, 보롬도 많고, 비바리도 많고, 유채꽃도 곱드락 호게 피었수다.
아무리 말해도 모릅니다.	아명 고라도 몰라 마씀.
어서 와서 보십시오.	혼저 왕 봅서.
제주도에는 바람이 많이 있습니다.	제주도엔 보름이 많이 있수다.
동쪽에서 부는 바람, 샛바람.	동쪽에서 부는 보름, 샛보름.
서쪽에서 부는 바람, 갈바람.	서쪽에서 부는 보름, 갈보름.
남쪽에서 부는 바람, 마파람.	남쪽에서 부는 보름, 마포름.
북쪽에서 부는 바람, 하늬바람 입니다.	북쪽에서 부는 보름, 하늬보름 이우다.
한라산에 올라서 보십시오.	한락산에 올랑 봅서.
발 아래 구름들이 오락가락 하고 아듣하니 꿈속 같습니다.	발 아래 구름들이 왔닥갔닥 호곡 아득혼게 꿈속 고틉니다.
옛날에 신선들이 흰 사슴을 타며 놀았다고 해서 백록담 아닙니까.	옛날에 신선들이 힌 사슴 타멍 놀았댄 해연 백록담 아니꽈.
제주 사람들은 돌 하르방 보면서 살았습니다.	제주 사롬들은 돌 하르방 보멍 살았수다.
그러니까, 거짓말 할 줄 모르고 서로 믿으면서 착하게만 살았습니다.	경 호난, 거짓말 홀 줄 모르곡 서로 믿으멍 착하게만 살았수게.
보십시오, 없으면 도와 주고, 있으면 나누어서 먹으면서, 인정 많고, 사랑이 많은 돌하르방 손자들 입니다.	봅서, 어시민 도와 주곡, 이시민 나누엉 먹곡, 인정 많고, 소랑 많은 돌하르방 손지들 이우다.
장가간 날 밤, 새 신랑이 말했습니다.	장게간 날 밤, 새 서방이 말했수게.
`색씨야, 어서 오너라.`	`새 각시야, 혼저 오라게.`
`왜 그러십니까?`	`무사 마씀?`
`조금만 계십시오.`	`호꼼만 이십서게.`
`꾸물대지 말고 어서 오너라.`	`뭉캐지 말앙 혼저 오라게.`
신부가 신랑 품에서 살그머니 말했답니다.	새 각시가 새 서방 품에서 솔째기 말해십주.
`나를 얼마나 사랑하십니까?`	`날 얼마나 소랑햄쑤과?`
`저기 한라산만큼, 또 바다만큼 사랑한다.`	`저기 한락산만큼, 또 바당만큼 소랑햄쩌.`
`그러지 말고 이 가슴팍 만큼만 사랑해 주십시오.`	`경 마랑, 요 가슴패기 만큼만 소랑해 줍서.`
`그래, 너하고 나하고 둘이 둥실 사랑하자.`	`기여, 느영 나영 두리 둥실 소랑호게.`
신랑이 신부에게 말했답니다.	신랑이 신부에게 말했수게.
`여기 가까이 오너라.`	`이 조끄뜨레 오라게.`
`왜 가까이만 오라고 하십니까?`	`무사 조끄뜨레만 오랜 햄수과?`
`조금이라도 같이만 있고 싶어서.`	`호꼼이라도 고치만 있고 싶언.`
`남들이 웃습니다.`	`놈덜 웃읍니다.`
`어떡하느냐? 사랑에는 부끄러움이 없단다.`	`어떵 호느냐? 소랑에는 부치룸이 엇나.`
왜 그렇게 말하십니까?	무사 경 고람쑤과?
어서 와서 사랑하면서 살아 봅시다.	혼저 왕 소랑하멍 살게 마씀.
화를 내면서 살아도 한 세상 걱정하면서 살아도 한 세상 입니다.	성 내멍 살아도 혼 세상 저들멍 살아도 혼 세상 이우다.
가난해도 웃으면서 살아 봅시다.	가난해서 웃으멍 살게 마씀.
삼다도라고 하더니만 정말 돌이 많습니다.	삼다도옌 행게마는 촘말 돌이 많쑤다.
예?	양?
옛날에는 한라산이 화산이었기 때문에 돌이 많답니다.	옛날엔 한락산이 화산이란 돌이 많쑤게.
아이고, 저기 돌구멍에 핀 꽃 보십시오. 돌구멍으로 보는 바다는 꼭 그림 같군요.	아이고 게, 저기 돌고망에 핀 꽃 봅서 돌고망으로 보는 바당은 꼭 그림 답쑤다.
바다에 가서 보아야.	바다에 강 봐사.
풍랑을 알게 되고 자식을 낳아 보아야.	풍랑을 알아 지곡 조식을 나 봐사.
부모 마음 알게 되고 사람은 만나서 살아 보아야.	부모 모심 알아 지곡 사롬은 만낭 살아 봐사.
진짜 마음을 알게 되고 사랑을 해 보아야, 눈물도 알게 된답니다.	진심을 알아 지곡 소랑을 해 봐사, 눈물도 알아 짐니다.
사람은 서로 서로 도우며 사는 것이야!	사롬은 서로 서로 도우멍 사는 거여!
약은 고양이가 밤눈이 어둡다고 한다.	욕은 고냉이 밤눈 어둡덴 혼다.
자기만 약은 체 하면서 살다 보면.	이녁만 욕은 체 호멍 살당 보민.
자기 욕심에 걸려서 자기가 넘어진단다.	지 욕심에 걸령 지가 넘어진다.
서귀포 바다에 가면 알수 있습니다.	서귀포 바당에 가민 알아 짐니다.
무엇이 사랑이고.	무신것이 소랑이고.
무엇이 그리움인지.	무신 것이 그리움인지.
안개 낀 부둣가에 뱃고동 울어 주면.	안개 낀 부둣가에 뱃고동 울어 주민
옛님이 그리워서 눈물이 많이도 납니다.	옛님이 그리웡 눈물이 잘도 납니다.
아끼면서 살아야 한다.	조냥 하멍 살아사 혼다.
오늘보다 내일을 생각하고.	오늘보다 내일 생각호곡.
내일보다 모레를 생각하고.	내일보다 모레 생각호곡.
그렇게 해사 일생을 편히 살수 있단다. 	경 해사 일생을 펜안호게 살아진다.
요사이 아이들.	요새 아이덜.
너무 편안히 산다 그러니까.	너무 호강 햄쩌 경 호난
조금하면 아프고.	호꼼호민 아프곡.
울고 하고 있다.	울곡 햄시녜.
뒹글리면서 기른 달걀이 병아리가 된다고 한다.	둥구리멍 질룬 독새시가 빙애기 된댕 혼다.
어릴 때 고생도 하고 해야 큰 사람 된다. 	어진 때 고생도 호곡 해사 큰 사롬 된다.
어서 와서 먹으십시오.	혼저 왕 먹읍서.
따뜻합니까?	맨도롱 했수과?
따끈따끈한 것이 먹기에 꼭 좋았습니다.	똣똣혼 게 먹기 똑 좋았수다.
따뜻할 때 후루룩 마셔 버리십시오.	맨도롱 홀 때 호로록 들여 싸붑서.
날이 밝았다, 어서 가자.	동 텃저, 어서 글라.
일 해야 먹고 산다.	일 해사 먹엉 산다.
부지런한 것은 하늘도 못 막는다고 하더라.	부지런 혼 건 하늘도 못 막낸 해라.
뻘리 준비해서 가야, 일 할 것 아니냐. 	혼저 촐령 가사, 일 홀 거 아니가.
시집을 가 보니까 이렇드라.	시집 가 보난 영 해라.
돌덩이 같이 고집 센 시아버지에.	돌탱이 고튼 시아방에.
살모사 같이 독한 시어머니에.	물폐기 고튼 시어멍에.
문어 같이 물렁물렁한 남편에.	물꾸럭 고튼 서방에.
굴뚝새 같이 약아 빠진 시누이에.	고냥독새 고튼 시누이에.
살아도 살아도 고생이더라.	가도 가도 고생이라라.
어디로 가느냐?	어드레 감디?
바다에 어머니 한테 갑니다.	바당에 어멍 안티 감쑤다.
그러면, 이거 가지고 가라.	경 호건, 이거 가정 가라.
무엇입니까?	무싱 거꽈?
너희 어머니, 바다에서 물질하면서 먹을거다.	느네 어멍, 바당에서 물질 호멍 먹을거여.
이렇게 억울할 때가 있습니까?	이추룩 억울할 때가 있수과?
사정을 해도 시원하지 않을 놈이 큰 소리 합니다.	소정해도 시원호지 않을 놈이 큰 소리라 마씸.
아니 원, 그거 도둑놈 마음이구나.	초마 가라, 그거 도둑놈 심뽀구나.
그러게 말입니다, 그런 사람이 어디 있습니까?	게메 마씸, 그런 사롬이 어디 있수과?
시험에 떨어진 아들이 아버지께 말했습니다.	시험에 떨어진 아들이 아방 안티 말했수다.
`난, 아무리 해도 안되겠습니다.`	`난, 아명 해도 안되쿠다.`
`왜, 안된다고 생각하느냐?`	`무사, 안된댄 생각 햄시냐?`
`해도 해도 안되는걸, 어떻게 합니까?`	`해도 해도 안되는디, 어떵홉니까?`
`차돌도 뚫고 있으면 구멍이 난다. 하고 있으면 된다.`	`먹돌도 똘람 시민 고망이 난다. 햄시민 된다.`
딸이 뛰어 가다가 쓰러졌답니다.	똘년이 돌으멍 가단 푸더전 마씀.
이런, 어떻게 하나.	으마떵 호리.
그래서 어떻게 했는가?	경 호연 어떵 해서 ?
병원에 갔습니다.	병원에 갔수게.
가서 보니까 뼈가 부러졌답니다.	간 보난, 꽝이 뿌서졌덴 마씀.
한, 열흘간 입원 해야 한다고 합니다.	혼, 열흘간 입원 해사 혼덴 햄쑤다.
작다고 놀리지 마라.	족댕 나무래지 말라.
작은 것이 똑똑하고 영리하다.	조근게 요망진다.
큰 것은 바람만 불어도.	큰 건 보롬만 불어도.
흔들 흔들 거리지만 조그만 한 건.	홍글랑 홍글랑 호지만 호꼴락 혼 건.
단단하고 태연하게 있는다.	똔똔호곡 펜주룽 혼다.
어느 곳으로 가십니까?	어드레 감수과?
바다에 고기 사려고 말입니다.	바당에 괴기 사레 마씀.
왜, 누가 왔습니까?	무사, 누게 왔수과?
서울에서 작은 아버지네가 왔습니다.	서울서 족은 아방네 완 마씀.
그럼, 조심해서 갔다 오십시오.	게민, 멩심허영 갔당 옵서.
어머니가 해 준 밥을 먹어 보십시오.	어멍이 해 준 밥 먹어 봅서.
정말로 맛이 좋습니다.	촘말로 맛이 좋수다.
무엇 때문인가요?	무상고 마씀?
그건 어머니의 사랑하는 마음이 밥속에 가득 가득히 들어 있기 때문 아닙니까.	그건 어머님의 사랑호는 모심이 밥속에 고득 고득 들어 이시난 아니꽈.
소문 옮기면서 다니지 마십시오.	소도리 행 댕기지 맙서.
소문은 남들 싸움만 만듭니다.	소도리는 놈덜 싸움만 맨듭니다.
예부터 싸움은 말리고.	옛부터 싸움은 멀리곡.
흥정은 붙이라고 했습니다.	흥정은 부치렌 했수다.
그러니, 좋은 소리는 크게 하고.	게난, 좋은 소린 크게 호곡.
나쁜 소리는 조용히 해 버리십시오.	궂은 소린 속솜 해 붑서.
두 부부가 어디로 그렇게 달려 가는가?	두 가시가 어드레 경 돌암서?
큰 딸이 아이를 낳았다고 해서 갑니다.	큰 똘, 애기 낫댄 햄 감쑤다.
그랬구나.	경 했구나.
무슨 애기를 낳았는가?	무슨 애기 나서?
아들 입니다!	아덜 마씀!
아이구, 잘 되었네!	아이고, 잘 됐구나게!
어서 가 보게나.	혼저 강 봐 게.
가서 보고 오십시오.	강, 방 옵서.
와서 보고 사십시오.	왕, 방 삽서.
이렇게 하고, 저렇게 하고 하십시오.	영 호곡, 정 호곡 홉서.
그렇게 말해 주십시오.	경 고라 줍서.
가지 말고서 이렇게 하면서 사십시오.	가지 말앙, 영 호멍 삽서.
여보, 제주도에서 삽시다.	서방님, 제주도에서 살게 마씀.
좋지요.	좋주마.
넓은 바다.	널은 바당.
좋은 공기.	좋은 공기.
인심좋은 사람들과 살면 살 맛 날거다.	인심좋은 사롬들광 살민 살 맛 날거라.
살다가 지치면.	살당 지치민.
풍덩 바다에 들어 가고 말입니다.	풍덩 바당에 들어 가곡 마씀.
둘이 먹다가, 한 명이 죽어도 모르는 건 무엇입니까?	둘이 먹당, 호나 죽어도 몰르는 건 무신거꽈?
달고 맛있는 제주도 전복죽이야!	돌코롬 혼 제주도 전복죽이주!
둘이 보다가, 한 사람이 죽어도 모르는 건 무엇입니까?	둘이 보당, 호나 죽어도 몰르는 건 무신거꽈?
곱고 예쁘장한 제주도 처녀야!	곱들락 혼 제주도 비바리주!
그러면 오십시오.	게민 옵서.
전복죽 먹고서 처녀 보러 갑시다.	전복죽 먹곡 비바리 보래 가게 마씀.
쨍쨍한 햇볕속에 일 하려고 하니 수고 했습니다.	과랑 과랑혼 벳디 일 호젠 호난 속았수다.
수고 할 거 있습니까?	속을 거 있수과?
조금, 땀은 났습니다만.	호꼼, 똠은 났수다만.
안으로 들어 오셔서.	안트레 들어 왕.
저녁식사 하고 가십시오.	조녁 먹엉 갑서.
그렇게 할까요.	경 호카 마씀.
제주 바다에 가면 바다가 말을 합니다.	제주 바당에 가민 바당이 말을 홉니다.
사람보다.	사롬보다.
더 재잘재잘 말을 하고.	더 조잘조잘 말을 하곡.
사람보다.	사롬보다.
더 사랑도 많이 합니다.	더 소랑도 하영 홉니다.
그렇게 하면서.	경 호멍.
낮이나 밤이나 꽃을 피웠다가.	낮이나 밤이나 꽃을 피웠당.
지웠다가 합니다.	지웠당 홉니다.
제주 바다에 가서 보십시오.	제주 바당에 강 봅서.
미운 것도 없어지고.	미운 것도 엇어지곡.
슬픈것도 없어지고.	슬픈것도 엇어지곡.
가슴으로 바닷물만 들어오고 나가고 하면서.	가슴으로 바당물만 들곡 나곡 호멍.
둘이 둥실.	두리 둥실.
둥그대 당실.	둥그대 당실.
사랑만 가득하게.	소랑만 고득하게.
담아서 옵니다.	담앙 옵니다.
서울에서 색씨가 왔습니다.	서울서 새각씨 왔수다.
어떻게 생겼던가?	어떵 생겨서?
똑똑하고 영리하게 생겼습니다.	요망지게 생겨십디다.
살그머니 웃으면서 말 하는 걸 보니.	솔째기 웃으멍 말 호는 거 보난.
착할 것 같습니다.	착햄직 홉디다.
그 나쁜 놈!	그 나쁜 놈!
뺨따귀를	볼망텡이를.
때려 버릴거 아닙니까?	박아 불거 아니꽈?
그렇게 했어!	경 했주!
목을 잡아서 흔들다가	모가지 잡안 흥글단.
머리로 배를	대맹이로 뱃대기를.
받아 버렸더니	박아 부난.
뒹글며 쓰러져 버리더군!	둥글멍 자빠정게!
잘 됐어!	잘 콰니여!
그런 놈은	그런 놈은.
혼을 내 줘야 합니다.	혼내 줘사 홉니다.
쌍둥이 어머니!	쌍둥이 어멍!
고생하고 있네요, 그렇지요?	고생햄쭈, 이?
둘이가 서로 이기려고 하니.	둘이가 고름배기 해연.
죽겠습니다.	죽어지쿠다.
그렇게 할 거에요.	경 홀거라.
그래도, 남하고 싸울 때는.	게도, 놈 호고 싸울 땐.
자기네 편을 들면서 싸웁니다.	지네 펜백들멍 싸워 마씀.
요 계집애 봐라.	요 년 난거 보라.
남의 남자와 얘기 하고.	놈이 소나이영 말 호곡.
벌써부터.	벌써부터.
남자를 밝히느냐?	서방질 햄시냐?
아닙니다.	아니우다 게.
바다에 가다가.	바당드레 가단.
길 모르는 사람이 있어서.	질 모른 사롬 이시난.
길 가르켜 줬습니다.	질 고르쳐 줬수게.
아이구.	아이구 게.
큰일 났습니다.	큰일 났수다.
왜, 그렇게 들락키느냐?	무사, 경 들락켬시니?
너무 서두르지 말고.	와리지 말앙.
천천히 말해 보아라.	촌촌이 고라 보게.
그러니까요.	경호난 양.
이렇게 하고.	영 호곡.
저렇게 하고 했습니다.	정 호곡 했수게.
그러니까.	게난.
욕심 내면서 살면.	욕심 내멍 살민.
그렇게 된다.	경 혼다.
색씨.	새각씨야.
그거 가져다 줘라.	그거 앗아 도라.
왜.	무사.
당신은 손이 없어요?	당신은 손 엇수과?
발이 없어요?	발 엇수과?
그러지 말고.	경 호지 말앙.
좀 가져다 주면.	좀 앗아 주민.
안돼냐?	어떵 호느냐.
버릇 됩니다!	버릇나 마씀!
별나고 약아 빠진 소리.	밸 놈의 요망진 소리.
그만 해라.	그만 호라.
이제 가자, 짐 꾸려라.	이제 가게, 짐 촐리라.
알았습니다.	알았수다.
아이들도 데리고 갈까요?	아이덜도 도랑 가카 마씀?
그래, 모두 같이 가자.	기여, 모딱 고치 가게.
할아버지, 할머니가 좋아하실거야.	하르방, 할망이 좋아할거여.
목아지에 때를 밀라.	야게기에 때 밀라.
겨드랑이랑, 종아리도 밀고.	저깽이영, 정겡이도 밀곡.
옷 벗어서, 사타구니 사이도 밀어라.	옷 벗엉, 강알 트멍도 밀라.
사람 몸은 깨끗해야 한다.	사롬 몸은 곱닥해사 혼다.
무엇을 먹을까?	무신 걸 먹으코?
글쎄요, 제주도에만 있는 것을 먹읍시다.	게메 양, 제주도에만 이신 거 먹게 마씀.
소라에, 보말에, 옥돔생선, 또 있어요.	그젱기에, 보말에, 옥돔생성, 또 있수다.
메밀 범벅에 자리젓갈!	모멀 범벅에 자리젯!
먹을 것도 참 많이 있네.	먹을 것도 촘 하영 있저.
왜, 나는 조그만 줍니까?	무사, 난 호꼼만 줨쑤과?
이놈아!	이놈아!
욕심을 가진 눈에는.	욕심 먹은 눈에는.
자기 것은 작게 보이고.	지 껏이 족아 베곡.
남의 것은 크게 보이는 것이야!	놈의 껏은 커 베는 거여!
똑같이 나눈 것을 어찌 크다 작다 하느냐?	똑고치 나눈 것을 어찌 크다 족다 햄시니?
어머니가 화가 나서.	어멍이 용심 난.
꼼짝 안합니다.	옴찍 안햄쑤다.
그렇고 말고!	경 호곡 말곡!
믿던 나무에 곰팡이가 핀다고 하더니만.	믿던 낭에 곰팽이 핀댕 게마는.
하도 억울하게 당해서 아니냐.	하도 억울호게 당해부런 아니가.
어머니 마음 위로해 드려라!	어멍 모심 달래 드리라!
닭이야 울면 날이 밝아 오지만.	독이사 울엉 날이 새주마는.
내가 울면 어느 날 밝을 수 있으랴.	내사 울엉 어느 날 새리.
닭의 목에 자물쇠나 잠궈서.	독의 목에 통쇠나 종강.
내가 대신 울어나 볼까.	내가 대신 울어나 보카.
여기 바다에.	요 바당에.
여기 물에 들어가서 전복.	요 물에 들언 좀복.
소라.	구젱기.
가득하게 잡아다가.	고득하게 잡아당.
한 푼.	혼 푼.
두 푼.	두 푼.
모이다 보니까.	모이단 보난.
남편의 술값에.	서방님 술깝에.
모조리 들어 가더라.	몬딱 들어 감쩌.
정신없이 급하게.	두렁청 호게.
재촉해서.	다울리멍.
일하지 마라.	일호지 말라.
바늘 허리를.	바농 존둥이.
졸라 매어서.	졸라 메영.
바느질 되는 거.	바농질 되는 거.
봤느냐?	봔디야?
천천히 생각하면서.	촌촌히 생각호멍.
하나씩 해야.	호나씩 해사.
일이 된다.	일이 된다.
살다 보면 고생할 때도 있고.	살당 보민 고생홀 때도 있곡.
어려워서 쓰러질 때도 있단다.	어려웡 쓸어질 때도 있저.
그래도, 한눈 팔아서 가지 말아라.	경해도, 허천 베레지 말라.
곧게 걸어 가노라면.	곳작 호게 걸어 감시민.
나중엔 꼭 성공한다.	나종엔 꼭 성공혼다.
한림공원에 가서 보았습니까?	한림공원에 강 봅디가?
별의 별, 나무랑 꽃이랑 잘도 아름답습니다.	밸의 밸, 낭이랑 꽃이랑 잘도 곱디다.
사랑하는 사람은 꼭 가서 봐야 한다고 합니다.	소랑호는 사롬은 꼭 강 봐사 혼댄 마씀.
그래야, 사랑하면서 잘 산다고 합니다.	경 해사, 소랑호멍 잘 산댄 고릅디다.
서울에서 온 사나이 제주 처녀에 미쳐 버리니까.	서울서 온 소나이 제주 비바리에 미쳐 부런.
오늘 갈까, 내일 갈까, 하다가 보니 꼼짝 못해서 살고 있더라.	오늘 가카, 넬 가카, 호단 보난 옴짝 못핸 살암서라.
색씨, 왜 안 옵니까?	새 각씨, 무사 안 왐쑤과?
어떻게 된 거 아닙니까?	어떵 된 거 아니우꽈?
가서, 데리고 오십시오. 무었을 그렇게 늑장부리고 있는 건가?	강, 돌앙 옵서. 무신걸 경 몽캠신고?
오늘은 우리 밭에 마늘 심어 주십시오.	오늘랑 우리 밭디 마농 심거 줍서.
그렇게 합시다! 그런데, 비가 올 것 같습니다.	경 홉주마! 겐디, 비 옴직 해염쑤다.
동쪽으로 구름이 시커멓게 되고 있습니다.	동그레 구름이 시커멍 햄신게 마씀.
그럼, 조금 있다가 와 주십시오.	게민, 호꼼 있당 와 줍서
아침부터 저녁까지.	아척부터 조녁까지.
두 사람이 둥실 사랑도 하고.	두리 둥실 사랑 호곡.
구경도 하고.	구경 호곡.
그렇게 하다 보니.	경 호단 보난.
뼈가 폭삭 주저앉는다. 	꽝이 복삭하우다.
사랑 할 때는 살그머니 말해라.	소랑 홀 땐 솔째기 골라.
누가 들으면 웃는다.	누게 들엉 웃나.
아무도 모르게.	아무도 몰르게.
너하고 나하고만 살그머니 하자.	느영 나영만 솔째기 호게.
어머니랑 같이 오십시오.	어멍이영 고치 옵세.
